in-store,age,items,amount,region
0,43,4,113.2,2
0,33,7,2488.4,4
0,61,5,2966.2,4
0,48,1,153.16,2
1,51,7,486.38,4
0,61,4,165.77,4
0,75,5,47.341,2
1,41,7,583.71,3
0,38,7,31.73,2
1,29,3,899.09,4
1,46,2,879.42,4
0,72,1,342.87,2
0,36,7,160.76,2
1,44,8,604.26,1
1,45,7,411,1
0,61,7,1310,3
0,58,8,2898.1,3
1,74,6,465.42,3
1,69,6,109.03,3
0,60,4,2138.3,4
1,57,3,833.09,3
1,36,6,1585.3,4
1,38,6,1628.1,1
1,41,5,843.38,4
1,28,7,1405.6,4
0,30,6,104.72,2
1,28,4,529.18,3
1,24,3,352.96,1
0,55,4,437.63,2
1,33,2,187.98,1
0,55,5,954.04,4
0,46,3,745.92,4
0,75,6,280.29,2
1,63,4,174.5,1
0,55,8,1256.6,4
0,63,3,275.12,2
0,26,7,665.03,3
0,36,3,2251.1,3
0,28,3,179.95,3
0,77,5,479.19,2
0,65,3,119.68,2
0,55,2,100.97,3
1,44,5,714.45,4
0,44,7,2816.3,4
0,81,8,382.65,2
1,38,8,256.37,3
1,47,3,935.39,3
0,52,7,2023.7,3
1,35,7,1070.5,1
1,23,3,142.67,4
0,69,3,327.07,2
0,34,6,249.57,2
1,49,2,1742,4
1,53,4,939.23,1
0,39,3,1283.4,4
0,39,4,2770.5,4
1,34,8,554.91,4
0,68,4,39.837,2
1,32,6,502.43,3
1,31,8,164.77,3
1,53,7,1062.5,4
1,70,3,851.86,1
0,61,5,1471.7,4
1,60,7,579.23,3
1,35,4,1718,4
1,44,6,561.82,1
1,20,7,1334.6,4
1,31,5,353.43,3
0,20,2,669.66,4
1,36,6,658.17,1
1,40,3,483.98,3
1,21,4,526.17,4
1,44,2,820.05,1
1,42,4,1804.6,1
0,25,5,1064.4,4
1,34,3,1694.3,4
0,41,3,373.49,2
0,34,6,471.89,2
0,70,2,193.66,2
0,20,3,2651.4,3
1,45,3,212.17,1
0,71,7,403.07,2
0,60,8,2005.2,4
0,35,4,1879.4,3
1,37,6,525.27,3
1,25,2,1331.5,4
1,47,4,1368.5,1
1,26,7,572.54,4
1,54,7,659.48,4
0,22,1,2880.1,4
0,24,6,1253.9,3
1,36,4,810.9,1
1,64,8,791.09,1
0,61,8,2954.7,4
1,41,2,1852.3,4
1,66,3,933.31,3
0,47,7,581.02,4
0,23,2,1070.6,4
0,54,7,315.32,2
0,49,2,1750.2,4
1,50,1,189.88,1
0,72,7,431.59,2
0,24,2,2833.8,4
1,43,1,1191.2,4
0,33,6,8.9825,2
1,69,8,783.93,1
0,68,7,194.47,2
1,44,4,511.2,3
0,19,6,585.73,4
0,35,4,1340.9,3
1,54,6,695.32,1
1,34,8,391.55,4
1,37,6,207.06,3
1,35,7,563.16,4
1,36,3,741.51,3
0,34,8,160.97,2
1,36,7,917.21,3
0,22,3,2789.3,4
0,36,8,332.28,2
1,47,7,1247.8,4
0,57,7,2905,3
0,53,3,253.37,2
0,44,2,468.8,4
1,40,5,357.48,1
0,62,7,442.3,2
0,22,1,1033,4
1,39,2,1167.9,1
0,45,8,373.96,2
1,37,7,1616.6,4
0,63,5,273.65,2
0,31,3,407.56,2
0,59,4,197.43,2
1,36,3,1680.4,4
1,42,3,1707.8,4
1,36,8,1419.3,1
0,43,3,441.19,4
0,60,1,2284.5,4
0,46,3,339.71,2
0,27,6,2378.7,4
1,37,8,866.9,4
1,37,6,147.9,4
0,52,6,419.92,2
0,71,5,246.26,2
1,50,4,476.73,3
1,26,5,1269.1,1
1,72,5,635.12,1
0,27,4,2851.3,4
1,48,5,1667.7,4
1,34,4,357.71,1
0,48,3,146.57,3
1,55,7,196.33,1
0,54,3,1315.3,4
1,37,8,1614.1,4
0,21,7,2615.6,3
1,40,6,271.93,4
1,45,4,1786.7,1
0,66,7,385.13,2
0,30,3,666.84,4
1,69,8,846.32,1
0,61,4,2882.9,4
0,54,3,355.29,2
1,25,7,1608.3,4
0,25,6,1785.8,4
1,28,8,1465.4,4
1,27,7,1290.6,4
1,45,3,766.55,3
0,40,4,342.6,3
0,37,3,443.02,4
1,54,8,315.57,3
1,32,7,61.078,1
1,31,6,1989,1
0,40,3,301.11,2
0,44,6,786.57,4
1,50,1,552.18,4
0,33,2,51.044,2
0,24,7,2842,3
0,48,8,2908.5,4
1,46,3,1020.5,1
1,32,5,108.36,1
0,78,1,90.357,2
1,50,7,121.37,4
0,32,5,200.81,2
1,40,7,1342.7,4
0,67,7,193.07,2
1,49,4,920.93,4
1,53,7,386.16,3
0,23,5,1102.9,4
1,41,5,326.14,3
1,25,3,913.88,4
0,39,1,340.14,2
1,62,1,982.93,3
0,81,4,83.41,2
1,22,2,1272.4,4
0,62,1,2231.9,4
1,50,6,1449.5,4
0,33,7,368.34,2
1,59,3,843.97,3
0,39,4,481.7,2
1,57,2,118.28,1
0,33,7,2278.9,4
1,53,8,263.08,3
0,60,6,1420.1,4
1,66,4,785.46,1
1,22,5,394.28,4
0,65,2,380.68,2
1,34,3,805.15,4
0,50,7,261.77,2
0,48,1,57.429,2
0,64,3,158.64,2
1,21,7,1934.6,4
1,54,7,758.71,1
1,45,6,512.9,3
1,64,6,615.55,3
0,65,6,231.6,2
0,55,2,884.71,4
0,77,7,465.99,2
0,58,4,2886.1,4
1,71,8,946.99,3
1,39,5,114.22,3
0,35,6,107.77,2
1,51,5,1545.4,1
0,19,3,1199,3
0,45,2,2522.2,4
1,22,8,827.54,1
1,68,6,949.37,3
0,36,3,120.12,2
0,32,6,76.382,2
0,82,5,301.46,2
1,50,5,175.38,1
1,36,4,717.63,4
0,61,3,1514.4,3
0,37,3,332.49,3
1,32,5,400.41,3
0,55,4,486.4,4
0,51,1,1684.1,4
0,27,2,391.76,4
1,73,3,868.75,3
1,70,6,182.89,3
0,37,4,359.53,2
0,56,2,210.42,2
0,42,7,481.68,2
0,49,5,2622.2,3
1,26,2,1431.9,4
0,36,8,134.88,2
0,41,6,506.28,4
0,62,5,2182.2,4
0,38,7,870.55,4
0,63,5,40.938,2
0,42,4,211.59,2
1,34,4,349.52,4
1,53,4,1301.9,1
1,49,8,1492.7,4
0,69,4,179.21,2
1,31,6,999.77,4
0,80,1,417.77,2
1,28,4,105.68,1
1,39,5,938.36,4
1,63,1,926.88,3
0,74,8,436.85,2
0,52,7,357.11,2
0,84,8,103.26,2
0,43,8,7.4534,2
1,32,6,710.05,1
0,62,2,291.49,2
0,54,3,1874.2,3
0,50,5,640.47,3
1,48,7,599.2,3
1,55,4,942.03,3
0,67,4,8.1028,2
0,50,5,2539.7,3
0,50,1,571.95,3
0,36,8,27.178,2
1,36,4,909.4,1
1,42,1,713.08,1
1,71,3,950.63,1
0,28,5,1667.7,4
1,35,5,1434.5,4
1,61,2,444.45,3
1,49,5,403.82,1
0,42,5,345.28,4
1,42,6,1608.1,4
0,47,3,15.293,2
0,63,3,1031.7,3
0,61,6,2053.5,3
1,47,6,1071.8,4
0,48,5,91.521,2
1,42,7,531.83,1
0,53,2,1485.2,4
1,39,2,996.38,1
0,65,6,112.63,2
1,41,3,766.46,1
1,24,8,890.84,1
0,81,8,46.592,2
1,31,6,392.83,3
0,19,4,422.39,4
0,24,2,2456.6,4
0,50,4,2881.4,3
1,20,2,641.42,1
1,37,6,96.049,1
0,45,4,1085.3,4
1,28,4,817.41,4
0,58,2,404.35,2
1,54,8,1492.6,4
1,22,7,1346.3,1
0,25,5,2439.7,4
1,52,2,545.31,3
0,62,3,886.28,4
0,47,4,753.48,3
1,43,6,684.2,1
0,65,3,114.29,2
0,59,7,1378.2,4
1,48,7,1384.9,4
1,29,7,302.56,1
1,46,7,479.83,4
1,31,3,494.06,3
1,52,5,456.21,4
0,57,2,966.2,4
0,67,3,327.68,2
0,40,2,405.15,4
1,47,3,247.4,3
0,80,4,135.66,2
0,66,5,11.134,2
1,46,6,303.9,4
1,50,3,667.79,4
1,47,8,232.51,1
0,35,7,2985.6,4
0,56,7,92.417,2
0,43,2,650.71,3
0,54,4,10.261,2
0,46,6,165.56,4
1,72,6,190.41,1
1,23,2,1565.7,4
0,59,7,458.55,2
1,35,3,455.25,1
1,33,5,1692.9,4
1,54,6,738.07,4
1,69,5,229.18,1
0,80,2,61.186,2
0,28,7,1267.7,3
0,38,2,64.66,2
1,36,6,455.89,1
1,48,7,354.72,1
1,68,2,603.15,1
0,37,3,2868.4,4
1,32,6,89.122,3
0,45,5,159.48,3
0,42,6,2551.4,4
0,35,5,417.28,2
1,60,6,498.71,3
0,61,7,292.4,4
1,49,6,886.79,1
0,59,2,199.39,2
1,35,4,718.34,4
1,29,6,146.26,4
0,19,5,2596.9,4
0,44,7,107.92,2
1,32,6,1847.5,4
1,32,6,1522.8,1
0,20,4,2283.7,3
1,34,4,1212.3,4
0,55,6,28.911,2
1,25,2,556.31,1
0,43,6,373.38,2
0,52,3,132.97,2
0,71,1,7.5958,2
0,74,6,450.18,2
0,23,6,1726.1,4
1,41,4,271.47,1
0,42,4,536.55,3
1,59,4,639.45,3
0,68,1,29.396,2
1,53,2,905.08,4
1,50,2,308.55,1
0,62,1,2778.9,4
1,47,4,799.24,4
0,55,2,241.58,2
1,41,7,229.59,3
0,22,8,1075.5,4
0,76,3,96.045,2
0,49,5,207.36,4
0,27,5,1915.8,4
0,46,4,952.09,3
0,68,3,438.34,2
1,39,2,716.78,3
1,33,8,397.47,3
1,33,7,414.41,1
1,52,4,572.85,1
1,53,3,745.63,1
1,46,2,597.62,1
0,52,3,98.593,2
0,48,2,1411.2,4
1,29,8,572.15,1
1,46,7,614.21,3
0,29,1,175.75,2
1,57,8,130.62,3
0,38,3,78.735,2
0,50,5,231.34,2
0,44,2,529.82,4
0,61,3,91.239,2
1,68,7,426.33,3
1,48,2,865.9,1
1,57,2,740.51,1
0,19,7,1087.7,4
1,24,6,539.63,1
0,32,8,2668.4,4
1,20,2,943.55,4
1,46,6,263.46,4
0,51,1,38.27,2
0,43,8,355.48,2
0,38,2,2528.2,4
1,30,7,1775.6,4
1,33,3,146.09,3
0,45,2,135.2,3
0,24,7,346.46,4
1,53,7,347.09,1
0,81,7,312.27,2
1,32,3,1996.2,4
0,27,2,1375.7,3
0,56,6,2151.6,3
1,22,6,279.28,1
1,67,4,797.15,1
1,57,5,575.3,3
0,46,4,2682.2,4
0,26,2,2452.1,4
1,19,1,1740.8,4
1,28,4,699.69,1
1,71,3,434.32,1
1,54,6,1934.1,1
0,38,5,2590.4,4
1,50,6,1361.1,4
1,45,3,268.15,1
0,46,1,88.706,2
1,51,3,1107.2,1
1,74,4,105.96,1
1,70,5,123.69,3
1,35,2,915.88,3
0,58,3,300.8,2
1,30,7,747.18,4
0,27,2,2231.5,4
1,67,7,896.92,3
1,34,4,161.3,4
0,56,7,2885.3,4
1,38,2,1985.8,4
1,71,2,120.18,3
0,40,1,425.48,2
0,79,5,24.886,2
0,35,3,696.43,4
1,27,4,793.89,4
0,77,4,390.8,2
0,56,1,500.81,3
0,22,4,834,4
0,56,3,614.5,4
1,57,7,158.21,1
0,62,8,1805.1,3
1,56,2,551.25,1
1,44,4,1735.4,4
0,33,8,457.09,2
1,52,5,940.57,1
1,28,5,339.36,3
1,70,4,509.81,1
0,41,2,331.38,4
1,19,4,171,4
1,48,6,1879.6,1
0,50,7,473.56,2
1,37,4,194.44,1
0,45,6,346.57,2
0,65,3,117.39,2
1,39,3,358.93,4
0,28,5,845.56,4
1,28,8,1279.9,4
1,45,5,1913,1
0,19,2,1226.7,4
1,36,3,1912.7,1
0,44,7,264.72,2
1,21,3,437.76,1
1,73,5,563.39,1
0,63,6,457.22,2
1,42,6,883.1,4
1,60,3,844.11,3
1,70,4,220.68,1
0,54,4,1747.3,4
0,48,7,467.8,2
0,75,6,374.08,2
1,47,7,1755.1,4
1,43,8,520.99,4
0,20,2,2983.2,4
0,56,2,44.301,2
0,26,7,1265.7,3
1,39,8,813.29,1
0,50,5,2568.8,3
1,53,5,105.78,3
1,51,2,249.63,4
1,40,7,897.55,3
1,72,5,399.32,1
0,60,4,1681.4,4
0,57,8,2017.9,3
0,83,1,57.858,2
1,49,2,729.74,4
0,32,5,716.11,3
0,50,7,1189.2,4
1,39,5,719.32,3
0,50,5,108.36,4
0,52,7,197.22,2
1,37,8,532.65,4
0,50,3,36.943,2
1,46,5,1894.4,4
0,74,5,169.83,2
1,29,8,417.8,3
1,40,4,168.62,4
0,38,1,737.79,3
1,31,6,742.61,3
1,42,3,810.67,1
1,47,6,838.51,4
0,66,4,249.66,2
1,23,2,664.41,4
1,43,2,785.16,3
1,62,7,515.72,3
1,42,1,575.67,4
0,72,1,211.04,2
1,54,4,254.71,3
0,34,6,1467.7,3
0,73,4,177.44,2
1,71,2,717.61,1
0,35,2,491.92,2
0,34,6,1913.9,4
1,53,8,260.31,4
0,75,5,222.77,2
1,43,7,750.43,4
1,54,8,770.68,1
1,30,7,1794.8,4
1,46,3,532.06,1
1,63,4,278.56,1
1,27,2,467.4,3
0,68,6,122.47,2
0,28,7,43.284,2
0,38,1,418.49,2
1,61,6,294.17,3
1,59,1,437.3,3
0,61,7,299.66,2
0,58,2,2250.8,3
1,37,3,685.76,3
1,38,7,859.04,1
1,62,1,445.46,1
1,49,1,772.65,4
1,25,1,350.6,4
0,28,6,2642.3,4
1,62,6,470.92,3
1,20,2,915.92,4
1,45,2,535.62,4
0,58,6,876.99,4
1,46,1,277.73,3
1,46,7,411.69,4
1,55,7,1779.5,4
0,60,3,256.97,2
1,73,5,930.74,1
1,53,6,884.39,3
0,19,7,2445.3,4
0,25,4,394.79,4
0,64,2,41.94,2
1,31,2,675.84,1
1,37,7,1685,4
0,61,6,26.268,2
0,49,4,840.71,3
1,40,5,1962.5,4
0,33,5,889.78,3
0,38,8,327.82,2
1,33,6,1348.5,4
1,38,4,470.15,3
1,34,3,1456.2,4
1,33,6,500.29,1
0,75,3,149.83,2
1,55,7,384.31,3
0,32,5,99.53,2
1,38,3,260.75,1
0,58,7,385.78,2
0,55,3,733.42,4
0,32,7,111.77,2
1,22,3,479.83,1
0,48,1,2608.7,4
1,70,7,724.04,3
0,49,3,311.75,2
0,67,7,239.06,2
0,32,2,1184.4,4
0,47,2,1637.9,4
0,54,4,288.23,2
0,71,6,274,2
0,53,6,136.15,2
0,45,1,1809,4
0,41,5,679.56,3
1,45,5,91.361,3
0,30,3,2665.7,4
0,72,8,188.15,2
0,20,8,2054.9,3
0,28,7,726.12,3
0,83,6,191.11,2
0,53,6,195.82,2
1,41,4,535.49,1
0,47,4,492.94,2
1,38,7,494.19,1
1,20,2,1648.8,4
1,40,2,649.4,4
1,48,4,165.17,3
0,23,3,1356.3,4
1,26,3,1914,1
1,25,5,378.7,3
0,21,8,1405.9,3
1,52,3,57.954,1
1,26,1,1160.9,1
0,42,3,1468,3
0,62,3,237.65,2
1,48,5,160.67,4
1,53,3,1322.5,4
1,37,2,885.32,4
1,25,1,775.16,4
0,51,7,256.03,3
1,24,1,513.43,4
0,75,6,170.73,2
1,30,8,935.47,3
1,70,4,884.39,3
0,26,7,339.37,3
0,63,2,438.33,2
1,41,6,898.99,3
0,43,5,320.16,2
0,78,8,52.262,2
0,20,6,2381.9,3
1,27,6,788.76,3
0,36,4,2539.7,4
1,29,4,85.427,4
1,34,2,733.48,4
0,36,5,172.48,4
0,20,5,215.46,3
0,39,8,1207.3,4
1,36,5,1008.5,4
0,72,7,65.776,2
1,49,5,876.26,1
0,57,7,2951.9,4
0,29,7,491.76,2
1,68,1,675.51,1
1,34,2,782.7,4
0,42,7,794.81,3
1,36,3,986.74,1
0,23,2,2586.4,4
0,50,1,2280.6,3
0,48,7,662.58,4
1,61,5,168.21,1
0,63,5,2428.2,3
0,59,1,249.07,2
1,52,1,846.59,3
1,27,7,1988.7,4
0,66,7,42.255,2
0,18,2,991.83,4
1,34,6,97.361,3
0,25,6,2510.2,4
1,31,4,1451.3,4
0,80,4,58.362,2
1,37,2,886,1
1,37,2,860.29,1
1,32,8,153.94,4
1,54,3,944.45,3
1,29,5,498.58,4
0,36,3,185.34,2
1,42,4,431.77,3
0,36,2,110.86,2
1,64,8,829.68,1
0,45,7,1652.3,3
0,21,3,588.14,3
0,19,7,1405.1,4
1,33,3,1866.3,1
1,47,5,1415.3,4
1,28,3,952.99,4
1,41,2,1934,4
0,34,7,2611.3,4
1,54,7,1250.4,4
0,40,4,355.25,2
1,38,4,676.33,3
1,35,3,1716.7,4
1,37,3,1254.7,4
1,31,6,431.7,3
0,66,2,468.4,2
1,49,5,695.91,1
1,52,7,446.8,4
0,83,7,331.71,2
0,64,3,307.88,2
0,78,3,261.45,2
0,33,1,744.8,4
0,66,4,133.75,2
1,67,1,174.98,3
0,35,7,116.88,4
1,43,4,1705.5,4
1,57,4,238.95,3
0,38,6,2072.3,3
0,56,7,204.7,2
0,23,4,2919.3,4
0,25,1,473.64,4
0,56,6,16.029,2
1,21,6,1673.7,1
0,67,4,102.25,2
1,46,5,186.58,1
0,46,5,189.04,2
0,62,7,280.83,2
0,39,5,2247.9,4
1,25,4,1854.8,4
0,49,6,2108.2,4
1,44,7,1522.5,4
1,51,3,469.96,4
0,34,2,1408.3,4
0,74,2,114.96,2
1,50,7,480.35,1
0,31,5,2277.9,4
0,45,7,2611.7,4
1,24,6,951.45,3
0,18,7,1588,4
0,61,5,193.66,2
0,48,5,1053.1,4
0,44,4,2100.8,3
0,71,5,261.65,2
1,51,7,693.77,1
1,48,5,1648.2,1
0,65,8,100.85,2
0,39,4,153.18,2
0,78,5,179.62,2
1,24,2,207.07,3
1,26,8,503.39,3
0,43,6,2681.5,4
0,76,4,144.32,2
0,57,4,1735.5,3
0,36,7,264.6,2
1,22,3,1848,4
1,45,7,459.81,4
0,33,2,1403.9,4
0,31,4,370.53,2
0,23,3,348.86,4
0,77,2,371.44,2
0,77,2,33.541,2
1,48,6,99.579,1
0,59,1,2037.2,4
0,53,6,2568.5,3
0,61,4,1223.6,4
0,65,7,109.64,2
1,35,4,1863.8,4
0,54,8,2609.7,4
1,41,7,389.26,4
1,26,4,1503.4,4
0,48,6,873.69,4
1,60,7,126.94,3
1,72,5,924.02,1
0,30,8,2331.8,4
0,55,5,1270.1,4
1,49,3,1844,1
1,46,1,1614.8,4
0,50,8,1163,4
1,36,2,874.31,3
1,41,5,1134.1,1
1,53,2,697.6,4
0,57,5,234.83,2
0,28,4,1125.8,3
0,20,3,2603.6,3
0,82,3,197.03,2
1,53,5,1190,4
1,48,7,984.36,3
1,38,7,1595.2,1
1,49,7,707,1
0,54,4,170.81,2
1,67,6,464.72,1
0,50,6,692.18,4
0,76,2,367.12,2
1,68,1,561.17,3
1,56,4,990.37,1
1,69,5,818.28,3
0,63,5,277.8,2
0,19,3,137.52,3
1,37,4,1781.9,4
1,63,2,493.31,1
0,29,2,1629.8,3
0,33,5,2106.7,4
0,21,4,825.87,4
1,67,3,183.56,1
1,50,6,178.64,1
0,45,8,318.75,4
1,22,6,1065.1,1
1,50,3,573.26,1
0,43,1,296.92,2
0,30,3,331.6,2
0,52,4,2023.7,4
0,68,6,412.42,2
1,20,5,1751.3,4
1,38,2,420.6,4
1,73,7,850.97,1
1,52,7,120.36,1
1,49,5,695.14,3
1,41,8,1007.5,1
0,34,1,465.05,2
0,38,5,122.23,2
0,53,5,101.17,2
1,63,3,293.68,1
0,81,6,23.314,2
0,30,1,247.84,2
0,48,3,20.493,2
0,40,2,183.99,2
1,42,6,285.44,1
1,64,8,734.36,3
0,35,2,75.971,2
1,49,4,137.92,3
0,84,2,283.81,2
0,37,4,61.112,2
0,57,1,1176.3,3
1,42,5,400.49,4
1,42,4,1294.4,1
1,53,8,354.78,1
1,61,4,221.46,1
0,39,5,2197.1,4
1,22,3,414.5,1
0,53,3,77.395,2
1,26,1,1518.8,1
0,49,6,299.87,2
1,26,7,625.25,3
1,46,3,747.94,3
0,47,5,452.99,2
1,50,3,1487.7,1
1,67,5,402.34,1
0,51,5,1830.9,4
0,27,7,2552.1,4
1,47,2,677.96,3
1,43,8,53.399,3
1,32,3,314.08,4
0,46,4,215.05,2
0,45,2,1220.4,4
1,66,3,340.69,1
0,72,7,489.83,2
0,78,3,311.95,2
0,43,8,48.577,2
0,34,1,363.32,2
0,57,4,2115.9,3
1,43,4,1442.1,4
1,29,2,1018.4,4
1,45,8,833.62,4
0,35,1,2063.4,4
1,28,5,1609.3,1
1,39,2,1195.4,4
1,20,8,1492.6,4
0,38,4,84.175,2
1,39,6,435.89,1
1,52,4,1236.3,4
0,44,6,437.67,2
1,24,3,1861.4,4
1,41,7,146.07,3
1,58,3,332.66,1
0,47,2,1552.8,4
1,73,3,950.57,1
0,61,6,61.101,2
1,30,6,871.28,3
1,20,4,307.81,1
1,25,5,469.51,3
1,21,3,1830.1,4
0,30,3,2325.8,4
0,24,6,1013.8,4
0,52,3,317.95,2
0,31,3,763.45,3
1,21,4,1020.4,1
1,37,2,505.75,1
0,46,2,1589.8,4
1,47,8,942.27,4
1,28,2,788.82,3
0,44,6,44.267,2
1,36,7,101.24,3
1,20,2,699.76,4
0,26,5,566.83,4
1,31,6,1299.6,1
0,59,3,2731.3,4
0,81,5,292.69,2
0,53,2,2586.6,4
1,49,4,208.37,4
1,26,7,816.9,4
0,42,8,494.95,2
0,60,6,1832.3,4
1,72,6,747.42,1
0,80,3,159.4,2
0,33,1,170.89,2
0,60,4,966.54,3
1,44,4,1874.6,1
1,34,6,135.67,3
1,31,6,1121.3,4
1,56,7,316.77,3
1,66,2,508.99,3
0,19,3,1440.2,3
1,30,5,1613.9,4
1,44,4,563.17,3
0,19,4,2701.5,3
1,43,3,1463.7,4
1,42,6,1214.2,4
0,37,2,197.42,4
1,41,1,646.94,4
0,53,8,439.04,2
1,54,6,399.9,1
1,38,6,171.88,4
1,43,2,1730.7,1
0,58,4,2121.7,3
1,31,2,820.35,3
0,58,5,2862.8,4
0,33,5,159.29,2
0,32,5,192.29,2
1,48,5,1121.6,1
1,58,3,837.49,3
1,67,3,141.6,1
1,60,3,192.84,3
0,68,1,385.99,2
0,30,8,2474.4,3
0,24,3,2765.2,3
1,46,8,904.14,3
0,32,2,2197.4,4
0,67,3,274.88,2
0,34,5,354.27,2
1,35,3,330.22,1
1,26,5,366.83,1
1,50,2,370.77,4
0,29,2,1889.2,4
0,22,8,2710.5,4
0,47,2,363.61,2
0,53,2,1069.3,4
1,27,3,1430.9,1
1,55,5,314.71,3
0,46,7,2764,4
1,52,7,493.97,3
0,22,6,2319.2,3
0,63,1,278.84,2
1,51,7,801.25,3
1,58,7,608.47,3
1,65,3,752.58,1
0,39,4,1163,3
1,48,2,1060.2,1
0,25,2,112.11,3
1,53,7,680.39,1
0,60,5,236.34,2
1,24,2,1753.5,1
0,32,4,125.96,2
0,61,6,395.87,2
1,29,2,145.23,3
0,37,6,1558.5,4
0,56,8,465.4,2
0,73,5,366.91,2
0,41,6,359,2
0,47,7,754.85,4
1,29,2,651.96,1
1,39,3,995.99,4
1,32,6,566.62,3
1,66,5,835.85,1
1,29,2,1852.2,1
0,31,7,229.06,2
1,24,2,944.49,3
1,28,2,1213.6,4
1,27,8,1820.1,1
0,18,2,165.73,4
0,46,7,293.63,2
1,47,4,485.05,4
1,31,3,388.69,3
0,45,5,110.61,2
1,49,6,1918.9,4
1,27,7,1917.3,1
0,65,4,87.962,2
0,31,1,1701.2,3
1,31,4,632.16,1
1,38,5,1825.1,4
0,28,4,1997.6,4
1,49,7,959.62,3
0,46,7,519.73,3
0,52,2,357.49,2
0,49,5,1889.2,3
1,51,3,211.6,3
0,49,7,19.268,2
0,58,3,218.73,4
0,66,6,267.75,2
1,48,5,1258.9,1
1,27,4,778.92,3
0,60,3,69.793,2
0,32,4,105.95,2
0,76,8,141.34,2
1,41,3,546.6,1
1,44,6,585.39,1
1,26,3,1220.7,4
0,39,6,1080.6,4
0,30,3,266.47,3
1,67,4,722.58,1
1,67,7,723.68,3
1,55,2,630.11,1
0,49,7,412.7,2
0,66,4,36.315,2
1,29,4,782.44,3
0,66,6,9.2636,2
1,43,4,1030.5,1
1,54,8,648.33,3
1,45,6,189.18,1
0,57,5,416.07,2
1,32,7,970.21,3
0,68,1,414.17,2
1,57,6,696.36,3
0,58,2,227.51,2
1,55,5,1361.7,1
0,46,4,524.76,4
1,33,6,831.97,1
0,85,7,85.548,2
0,82,6,248.41,2
1,38,5,924.06,3
1,51,2,560.64,3
0,37,6,246.47,2
0,39,5,1260.7,4
0,35,7,2311.1,4
1,71,8,404.49,3
0,52,4,308.48,2
0,32,2,667.06,3
0,20,1,1381.6,4
1,53,1,122.99,1
0,85,7,206.84,2
0,24,1,2975.3,4
0,40,8,1955.8,4
1,39,4,1833.4,4
1,27,5,1354.5,1
1,23,4,153.68,4
0,52,1,123.34,2
0,21,2,1240.6,4
1,39,1,235.76,1
0,55,6,56.52,2
0,66,1,283.56,2
1,21,4,847.49,1
0,81,2,477.9,2
0,31,7,1290.6,4
0,62,4,320.13,2
0,37,5,307.4,4
1,64,7,620.59,1
0,39,2,21.857,2
1,38,1,169,1
0,45,7,2857.6,4
0,47,5,184.76,2
1,19,1,1478.8,1
0,22,3,702.39,4
1,74,5,623.45,1
1,66,4,602.35,1
0,58,5,259.19,2
1,25,6,1242.4,1
0,50,4,1405.9,3
1,37,6,1041.8,1
1,44,4,854.67,3
1,64,2,558.61,3
1,46,4,723.66,1
0,49,5,97.162,2
0,32,1,2671.8,4
0,44,4,1791.7,3
0,45,3,211.03,2
0,64,6,8.0402,2
1,39,6,595.18,4
0,20,2,1819.6,3
0,18,1,1300.3,4
0,40,4,359.03,2
0,84,3,117.25,2
1,22,7,1170.5,1
0,40,3,374.69,2
1,32,4,578.42,3
1,21,7,512.61,1
0,26,7,1367,3
1,51,1,710.83,3
0,54,5,61.972,2
1,74,2,740.54,3
1,53,4,870.96,1
0,41,7,275.35,2
0,43,2,273.22,2
0,34,1,356.42,2
0,59,6,2099.9,3
0,64,8,280.61,2
0,54,2,275.05,2
0,76,6,460.44,2
1,51,6,533.09,1
1,23,6,1710.8,4
1,45,1,296.95,4
1,32,7,783.89,3
1,29,5,314.7,1
0,60,7,1933,4
0,42,5,1770.3,4
1,53,2,197.42,1
0,41,6,384.89,3
1,39,4,548.42,1
0,39,5,436.54,2
0,67,4,432.45,2
1,63,2,845.33,1
0,28,8,667.63,3
0,34,4,909.13,4
1,52,2,368.12,1
1,27,5,1257.8,4
0,52,7,175.08,2
1,43,1,571.2,4
1,57,5,984.29,3
0,29,7,41.163,2
1,40,4,253.87,3
0,64,2,93.01,2
1,29,3,199.26,4
0,54,3,1533.3,4
1,28,4,581.28,1
0,61,4,134.06,2
1,60,3,648.84,3
1,44,5,582.59,4
1,65,4,751.97,1
1,42,6,348.01,1
1,66,4,186.98,3
1,40,2,145.31,4
1,27,3,493.42,4
1,58,7,586.71,1
0,23,5,2986.4,3
0,51,2,75.488,2
0,29,4,1324.4,4
1,58,6,333.2,3
1,60,7,200.23,3
0,59,2,171.84,2
0,58,4,2611.5,4
1,43,7,1600.6,1
0,67,8,495.61,2
0,33,6,1450.7,3
1,41,1,517.67,3
0,39,5,355.65,2
0,64,3,429.57,2
0,72,2,395.97,2
1,56,4,331.07,1
0,58,5,1892.8,3
0,56,4,1892.8,4
0,62,2,1512.7,4
1,37,7,1203.2,4
0,79,8,144.12,2
1,72,7,750.8,3
0,59,5,367.38,3
1,44,2,1012,1
0,23,6,1749.4,3
0,52,5,301.67,2
1,71,2,112.98,1
0,44,5,1041.9,4
0,84,6,268.19,2
0,41,1,1891.5,3
0,31,6,597.42,4
0,81,1,314.13,2
1,25,3,269.89,1
1,50,7,500.1,1
0,58,1,152.85,2
1,49,3,1237.3,4
0,63,1,34.426,2
0,49,3,2895.7,3
0,41,4,169.05,2
