,in-store,age,items,amount,region
8827,0,50,6,962.21,4
8828,0,70,6,327.31,2
8829,0,29,7,944.35,3
8830,0,41,5,2712.0,3
8831,0,69,2,148.63,2
8832,1,23,8,201.05,1
8833,0,39,3,437.38,4
8834,1,48,4,1164.8,4
8835,1,36,5,534.34,3
8836,1,28,5,614.59,3
8837,0,35,4,2387.9,3
8838,1,37,5,808.75,3
8839,0,30,7,1119.3,3
8840,0,44,2,1659.7,3
8841,1,23,4,1806.5,4
8842,1,55,4,721.09,4
8843,0,62,8,1198.9,3
8844,0,73,7,346.96,2
8845,1,24,1,458.71,4
8846,1,27,6,378.93,4
8847,0,48,2,2718.5,4
8848,0,56,7,60.738,2
8849,0,64,6,388.7,2
8850,0,22,7,2879.5,4
8851,0,23,6,2983.4,4
8852,0,22,3,668.47,4
8853,1,61,6,232.92,1
8854,1,42,7,918.4,1
8855,1,68,4,151.17,3
8856,1,31,4,1559.0,1
8857,0,62,7,203.08,2
8858,0,78,6,266.87,2
8859,0,35,8,386.18,2
8860,1,73,6,434.73,3
8861,1,33,1,1979.7,4
8862,0,62,2,804.87,4
8863,1,36,3,708.7,3
8864,0,35,6,1318.7,4
8865,1,46,3,874.9,1
8866,0,37,8,341.95,2
8867,1,36,4,999.69,1
8868,1,25,7,1027.3,4
8869,0,50,6,2509.2,4
8870,1,60,1,686.95,3
8871,0,59,7,1043.4,4
8872,1,74,3,750.39,3
8873,0,82,2,474.12,2
8874,0,73,3,396.61,2
8875,0,19,5,824.92,4
8876,1,52,5,632.71,3
8877,1,20,5,562.91,4
8878,1,22,7,498.83,4
8879,0,54,5,1691.2,4
8880,0,32,7,631.02,4
8881,0,49,2,378.61,4
8882,0,71,2,357.49,2
8883,1,60,2,659.62,3
8884,1,54,5,549.14,1
8885,1,61,2,395.86,3
8886,0,24,5,2265.9,4
8887,1,21,1,222.33,1
8888,0,46,2,2170.3,4
8889,1,70,7,416.21,3
8890,0,47,1,2186.5,4
8891,0,71,8,427.98,2
8892,0,78,3,145.41,2
8893,0,62,5,357.57,2
8894,1,62,6,463.18,1
8895,1,39,5,992.4,1
8896,1,53,4,440.9,3
8897,1,37,5,1481.9,4
8898,0,82,3,478.11,2
8899,1,49,8,375.36,1
8900,1,52,6,1368.8,4
8901,0,83,8,144.42,2
8902,0,78,7,401.75,2
8903,0,39,2,416.24,2
8904,1,52,6,624.53,1
8905,1,34,2,348.12,4
8906,1,37,3,126.0,1
8907,1,55,4,605.8,3
8908,1,43,7,1610.2,4
8909,1,48,8,1656.1,1
8910,1,44,2,1141.9,4
8911,1,32,2,366.32,1
8912,1,28,7,107.89,3
8913,1,38,4,88.88,1
8914,0,59,7,247.32,2
8915,0,27,2,374.16,3
8916,0,39,5,480.87,2
8917,1,52,3,382.6,4
8918,0,62,5,415.56,2
8919,1,33,6,793.29,4
8920,1,51,4,1225.5,4
8921,1,49,2,1220.4,4
8922,0,39,7,58.672,2
8923,1,59,2,672.85,1
8924,1,66,3,667.06,1
8925,0,30,8,83.984,2
8926,0,31,2,237.9,2
8927,1,52,8,285.57,1
8928,1,51,6,718.1,1
8929,0,74,2,477.96,2
8930,1,25,4,203.25,1
8931,0,43,6,1175.9,4
8932,1,63,4,126.6,1
8933,0,74,2,179.07,2
8934,1,29,8,1948.8,1
8935,1,48,7,371.11,3
8936,1,27,6,181.66,4
8937,1,39,5,583.76,1
8938,0,78,4,43.79600000000001,2
8939,1,23,2,1757.5,1
8940,0,24,5,1539.1,4
8941,0,68,7,470.16,2
8942,1,39,5,223.68,4
8943,1,21,8,1363.4,4
8944,1,53,2,943.65,4
8945,0,37,4,2128.4,4
8946,1,51,2,447.26,4
8947,1,46,3,303.93,1
8948,0,76,7,261.32,2
8949,1,41,6,720.47,4
8950,0,19,5,2817.7,4
8951,1,62,6,163.78,3
8952,0,43,6,295.98,4
8953,0,35,3,2826.6,3
8954,0,44,1,1321.3,4
8955,1,31,6,921.89,1
8956,1,53,8,969.06,1
8957,0,50,3,853.81,3
8958,0,38,5,179.01,2
8959,1,35,5,1158.9,4
8960,1,29,1,811.99,3
8961,0,28,2,173.68,2
8962,1,25,7,502.22,1
8963,1,40,7,251.33,3
8964,1,37,5,723.78,3
8965,1,27,3,874.93,1
8966,0,57,7,1352.7,3
8967,1,43,3,419.53,3
8968,1,61,7,583.92,3
8969,0,71,2,342.13,2
8970,1,64,1,683.14,1
8971,1,37,1,1234.0,1
8972,1,37,7,976.45,1
8973,0,45,5,2761.9,4
8974,0,44,3,2420.4,4
8975,1,54,3,839.97,3
8976,0,48,2,2443.7,4
8977,1,36,4,1433.1,4
8978,1,48,7,719.57,4
8979,0,21,4,1864.4,4
8980,0,60,6,265.3,2
8981,0,51,2,1666.7,4
8982,0,52,1,307.19,2
8983,1,31,5,1259.5,4
8984,1,30,4,513.75,3
8985,1,48,7,965.67,4
8986,0,55,4,609.43,3
8987,1,30,7,911.77,1
8988,1,44,6,736.68,1
8989,1,32,3,735.56,3
8990,0,55,4,1467.7,4
8991,1,40,5,537.38,3
8992,0,36,7,1208.2,4
8993,0,55,6,126.01,2
8994,0,69,4,395.65,2
8995,1,60,4,311.53,3
8996,0,23,2,689.52,3
8997,1,20,8,446.46,4
8998,1,29,4,407.03,4
8999,1,52,8,1871.8,1
9000,1,36,6,230.03,4
9001,0,28,5,2673.1,4
9002,0,55,2,2572.7,3
9003,0,24,4,1269.6,4
9004,0,64,3,40.054,2
9005,1,61,2,414.68,1
9006,0,77,5,468.09,2
9007,1,65,8,173.28,3
9008,0,54,7,261.69,2
9009,0,67,6,60.357,2
9010,1,73,6,87.501,3
9011,0,34,4,2112.8,4
9012,0,48,1,349.3,2
9013,1,48,2,212.57,3
9014,1,36,8,968.21,3
9015,1,33,5,428.71,4
9016,0,43,2,2382.1,4
9017,1,63,3,834.81,1
9018,1,35,2,312.56,1
9019,1,24,1,477.47,3
9020,0,53,3,274.75,2
9021,0,40,7,2532.8,4
9022,0,73,7,133.01,2
9023,0,34,3,251.41,2
9024,0,61,1,216.74,2
9025,1,34,2,783.75,1
9026,0,56,7,1630.5,4
9027,1,34,2,753.81,1
9028,0,53,3,425.04,2
9029,1,42,1,537.86,4
9030,1,69,8,619.9,1
9031,0,48,2,2981.4,4
9032,0,51,4,493.45,2
9033,0,36,8,1875.2,3
9034,1,42,5,516.15,4
9035,0,57,7,1044.9,4
9036,1,44,5,1299.5,1
9037,0,52,5,368.87,3
9038,0,44,4,217.65,2
9039,0,34,4,1254.2,4
9040,0,82,5,61.196000000000005,2
9041,0,40,2,1765.4,3
9042,0,81,6,384.35,2
9043,1,21,8,1218.4,4
9044,1,40,4,697.24,1
9045,1,25,6,1932.9,4
9046,0,56,4,48.038999999999994,2
9047,0,26,7,2154.1,4
9048,0,72,3,339.77,2
9049,1,46,6,121.78,1
9050,1,33,5,1842.7,4
9051,1,51,2,1979.8,1
9052,1,59,6,399.48,3
9053,0,78,3,56.482,2
9054,1,70,8,913.57,3
9055,1,34,6,589.01,1
9056,1,22,5,1430.7,4
9057,1,49,3,448.35,4
9058,1,43,6,970.02,4
9059,1,20,2,1328.1,4
9060,1,24,6,158.23,1
9061,1,22,7,149.11,4
9062,1,33,1,1487.2,4
9063,0,69,6,459.12,2
9064,0,59,5,286.63,2
9065,0,35,5,73.453,2
9066,1,63,2,183.69,3
9067,1,43,1,245.7,3
9068,0,40,7,25.7,2
9069,0,60,1,398.52,2
9070,1,44,3,1758.0,4
9071,1,45,5,839.81,3
9072,1,50,4,75.533,3
9073,0,32,2,1588.1,4
9074,1,43,8,1746.1,4
9075,1,43,8,823.67,1
9076,1,27,3,772.45,3
9077,1,53,4,1537.9,4
9078,0,35,5,2751.1,3
9079,1,25,2,132.54,4
9080,1,52,4,544.56,1
9081,0,37,3,2289.0,4
9082,0,32,4,243.37,2
9083,1,35,2,640.35,4
9084,0,45,3,465.23,4
9085,0,53,3,424.04,4
9086,0,24,1,2351.5,3
9087,1,49,4,301.27,4
9088,1,64,5,129.7,3
9089,0,73,5,458.98,2
9090,1,61,7,91.16,1
9091,0,53,6,473.21,2
9092,1,21,7,732.91,4
9093,0,71,4,94.286,2
9094,1,32,7,648.43,1
9095,1,20,7,248.16,4
9096,0,48,2,2800.9,3
9097,0,27,1,1254.5,3
9098,1,33,3,1147.5,4
9099,0,38,7,1776.3,4
9100,1,67,3,320.77,1
9101,0,31,4,782.61,4
9102,0,47,2,185.03,3
9103,0,28,7,1121.2,4
9104,1,38,5,842.81,4
9105,1,31,5,99.104,4
9106,1,34,4,800.92,1
9107,1,26,2,394.35,1
9108,0,47,7,323.39,2
9109,1,57,6,914.45,3
9110,0,46,4,2563.7,3
9111,1,46,2,1232.1,4
9112,1,49,2,645.99,1
9113,0,44,3,64.432,2
9114,0,77,5,310.17,2
9115,0,48,3,1392.1,4
9116,1,46,4,395.51,4
9117,0,37,3,2660.8,4
9118,0,19,1,601.98,4
9119,0,82,7,56.701,2
9120,1,43,7,373.09,4
9121,0,52,2,839.5,3
9122,1,43,7,1338.4,4
9123,1,59,3,97.335,3
9124,0,64,1,164.82,2
9125,0,79,3,181.6,2
9126,1,29,7,1096.3,4
9127,1,52,8,951.93,3
9128,1,54,3,778.54,3
9129,0,21,1,2386.4,4
9130,1,49,4,205.68,3
9131,1,46,8,206.95,1
9132,0,78,4,133.69,2
9133,1,35,3,350.03,3
9134,0,45,8,408.51,2
9135,1,25,3,827.35,4
9136,1,72,3,714.67,3
9137,0,27,5,1992.5,3
9138,1,43,3,209.7,3
9139,1,71,6,737.51,1
9140,0,55,4,512.16,4
9141,0,74,5,74.134,2
9142,1,52,3,445.96,1
9143,0,23,7,1016.5,4
9144,1,31,6,1446.5,4
9145,0,55,5,290.87,2
9146,1,44,7,1372.2,4
9147,0,51,5,1923.7,3
9148,0,37,5,840.36,4
9149,1,41,8,802.71,3
9150,1,52,3,669.86,1
9151,0,45,2,461.03,2
9152,0,58,7,488.45,2
9153,1,26,8,489.38,3
9154,0,51,3,230.13,4
9155,0,52,4,259.01,2
9156,1,28,6,922.81,4
9157,1,22,5,1993.9,4
9158,1,47,1,394.53,1
9159,0,78,6,353.78,2
9160,1,34,5,1743.3,1
9161,0,84,7,349.95,2
9162,1,48,5,847.97,1
9163,0,84,7,353.09,2
9164,1,34,5,1813.0,4
9165,0,49,2,97.973,2
9166,0,50,5,232.46,3
9167,1,48,8,350.88,1
9168,1,33,4,457.01,3
9169,0,27,6,2613.0,4
9170,0,35,4,288.65,2
9171,0,39,6,360.81,2
9172,1,74,5,332.84,3
9173,1,74,1,391.92,3
9174,1,51,2,765.75,1
9175,0,35,5,420.8,2
9176,0,33,4,154.39,2
9177,1,30,1,225.37,1
9178,0,43,3,348.63,2
9179,0,63,5,465.3,2
9180,1,36,3,687.7,3
9181,0,39,3,121.96,2
9182,1,24,6,567.38,4
9183,0,36,7,454.45,2
9184,1,37,6,1144.7,1
9185,0,42,7,64.395,2
9186,1,68,2,224.71,1
9187,1,41,7,695.98,4
9188,0,24,6,1414.0,4
9189,0,37,7,685.9,4
9190,1,54,3,98.001,3
9191,0,80,4,123.82,2
9192,0,60,7,87.25,2
9193,0,62,1,432.1,2
9194,0,30,6,1060.1,3
9195,1,51,4,241.23,4
9196,0,61,3,2904.8,4
9197,1,50,6,1723.3,1
9198,1,20,2,866.19,4
9199,0,30,6,187.03,2
9200,0,31,6,1592.3,3
9201,0,68,4,202.1,2
9202,0,43,6,1848.9,3
9203,1,46,7,956.42,3
9204,1,29,8,1283.4,1
9205,1,49,3,741.22,3
9206,1,48,5,1355.6,4
9207,1,25,6,1089.3,1
9208,0,62,4,239.88,2
9209,1,28,2,548.02,3
9210,0,22,2,661.72,4
9211,1,24,6,1182.4,4
9212,0,21,4,2505.5,4
9213,0,67,1,469.57,2
9214,0,37,7,2600.3,4
9215,1,28,5,659.02,1
9216,0,62,4,58.012,2
9217,0,64,7,456.61,2
9218,1,29,5,620.47,4
9219,1,40,4,471.81,3
9220,1,32,3,763.75,3
9221,0,74,6,8.7041,2
9222,0,40,3,119.29,4
9223,1,29,8,154.32,3
9224,1,46,6,96.531,4
9225,1,41,6,512.54,4
9226,0,46,3,2364.3,4
9227,0,40,2,1854.9,3
9228,1,29,4,613.77,1
9229,0,50,6,1632.3,4
9230,1,40,6,391.07,1
9231,1,34,2,780.98,1
9232,0,82,4,350.72,2
9233,0,38,7,57.24,2
9234,0,81,2,158.48,2
9235,1,24,2,1924.1,1
9236,1,56,8,761.09,1
9237,0,68,6,16.05,2
9238,1,45,2,118.9,4
9239,1,44,5,670.17,4
9240,0,55,4,256.73,2
9241,1,34,5,434.43,1
9242,0,53,4,152.84,2
9243,1,42,8,995.67,4
9244,0,82,1,190.27,2
9245,1,26,2,147.69,4
9246,0,42,3,1440.6,3
9247,0,45,3,2373.7,4
9248,1,50,7,975.18,1
9249,1,35,4,772.15,1
9250,1,37,3,1203.7,4
9251,0,78,5,160.4,2
9252,1,73,8,647.61,3
9253,0,28,4,507.73,4
9254,1,28,6,890.93,3
9255,1,23,3,343.86,1
9256,1,44,4,1297.9,4
9257,1,34,6,878.02,1
9258,0,27,4,701.13,3
9259,0,33,3,982.06,4
9260,1,37,7,345.93,1
9261,0,63,2,54.522,2
9262,1,64,2,152.68,3
9263,0,29,7,31.805999999999997,2
9264,0,38,4,876.78,4
9265,0,60,4,480.47,2
9266,0,56,8,1128.5,3
9267,0,45,4,200.39,2
9268,0,62,2,600.62,3
9269,1,19,2,520.49,1
9270,1,59,2,712.57,3
9271,1,52,2,406.11,3
9272,0,83,5,248.44,2
9273,1,41,1,61.17,3
9274,0,41,1,323.94,4
9275,1,69,4,82.079,1
9276,0,58,7,2586.8,4
9277,0,35,7,1528.1,3
9278,0,23,7,2634.3,3
9279,1,72,2,71.51100000000001,3
9280,1,68,5,163.87,1
9281,0,39,6,1215.2,4
9282,0,55,3,1704.0,3
9283,1,68,1,599.14,1
9284,0,19,2,1802.3,4
9285,0,35,5,499.16,3
9286,1,23,2,1015.3,1
9287,0,53,4,1939.0,3
9288,1,74,5,717.43,1
9289,1,46,3,1327.0,4
9290,1,41,3,381.26,1
9291,1,52,8,194.56,1
9292,0,77,3,80.5,2
9293,1,66,8,641.45,3
9294,1,67,3,411.32,1
9295,1,36,7,292.38,3
9296,1,50,3,817.28,4
9297,0,85,6,71.233,2
9298,0,57,2,244.08,2
9299,0,48,1,383.54,2
9300,1,71,8,635.85,1
9301,1,68,3,106.18,1
9302,1,30,8,1079.3,1
9303,1,54,2,605.74,1
9304,1,35,1,177.76,1
9305,0,62,4,850.07,4
9306,0,60,6,827.5,3
9307,1,57,2,832.03,1
9308,0,56,4,450.99,2
9309,1,26,1,572.34,1
9310,1,24,6,655.81,3
9311,1,66,4,712.21,3
9312,1,55,5,987.99,1
9313,1,66,3,405.41,3
9314,1,47,2,429.51,1
9315,0,47,5,2401.0,4
9316,0,48,8,2693.0,4
9317,0,46,2,1747.1,3
9318,0,43,8,174.28,2
9319,0,63,3,879.61,4
9320,1,24,8,1556.3,4
9321,1,46,7,1519.4,1
9322,0,74,3,335.17,2
9323,0,54,7,1248.6,3
9324,1,22,4,469.21,4
9325,1,47,7,1618.8,4
9326,0,21,6,2119.1,4
9327,1,28,5,783.16,1
9328,0,47,2,31.234,2
9329,1,38,3,618.95,1
9330,1,72,1,688.82,3
9331,0,45,7,386.12,2
9332,0,66,7,6.8759,2
9333,0,25,3,2470.2,4
9334,0,19,4,506.71,4
9335,1,39,7,1073.3,1
9336,1,68,7,989.06,1
9337,0,28,5,2619.0,3
9338,1,30,6,79.882,4
9339,1,62,3,628.24,3
9340,1,34,6,1475.6,4
9341,1,20,4,1923.7,1
9342,0,78,7,83.258,2
9343,0,43,8,108.69,2
9344,0,48,3,291.46,2
9345,0,76,2,99.285,2
9346,1,55,3,817.28,3
9347,1,47,4,683.38,4
9348,0,30,7,2672.6,4
9349,0,19,6,2720.7,4
9350,0,39,7,21.427,2
9351,0,20,5,100.63,3
9352,1,69,7,309.96,3
9353,1,37,4,141.72,3
9354,1,50,4,839.55,3
9355,1,36,4,352.37,1
9356,0,68,3,262.26,2
9357,0,67,5,433.35,2
9358,0,64,2,72.021,2
9359,0,37,6,149.13,2
9360,1,38,2,469.8,1
9361,0,59,2,1515.1,4
9362,0,41,5,8.6889,2
9363,1,30,7,447.52,4
9364,0,54,6,445.69,2
9365,0,55,2,422.38,2
9366,0,42,4,2887.7,4
9367,0,26,3,1482.7,3
9368,0,43,7,788.2,3
9369,0,52,8,468.02,2
9370,1,41,1,1289.7,1
9371,1,49,8,165.81,1
9372,0,84,8,237.9,2
9373,1,39,2,418.49,1
9374,1,47,2,1028.8,1
9375,0,54,8,1992.3,4
9376,0,35,5,1596.8,3
9377,1,28,7,828.36,1
9378,1,59,2,790.45,1
9379,0,38,1,2120.0,4
9380,0,37,6,1789.4,3
9381,0,34,7,745.38,4
9382,1,48,7,588.91,1
9383,1,45,6,60.126999999999995,3
9384,1,34,7,1226.4,4
9385,0,56,1,1870.3,4
9386,1,34,2,387.53,1
9387,0,83,6,452.63,2
9388,1,38,7,392.88,3
9389,1,32,4,551.57,3
9390,0,36,2,221.38,2
9391,1,37,4,721.08,4
9392,1,37,1,114.12,3
9393,1,51,7,733.94,4
9394,1,54,2,164.04,4
9395,0,63,2,2726.8,4
9396,0,42,1,510.3,4
9397,0,54,7,152.04,2
9398,1,50,5,1736.6,1
9399,0,49,5,492.57,2
9400,1,51,1,113.83,1
9401,0,38,2,141.18,2
9402,1,27,5,1222.0,1
9403,0,43,6,472.69,2
9404,1,68,6,240.54,1
9405,1,48,3,522.63,3
9406,1,35,1,1961.4,1
9407,1,45,5,1513.0,4
9408,1,60,2,935.75,1
9409,1,47,5,805.56,4
9410,0,73,3,213.19,2
9411,1,27,5,604.37,1
9412,1,24,3,903.75,1
9413,1,52,8,1584.7,1
9414,1,72,7,280.63,3
9415,1,35,6,383.59,1
9416,1,41,5,816.02,3
9417,0,55,4,74.089,2
9418,0,55,1,1340.5,3
9419,1,43,6,773.77,1
9420,1,26,2,123.46,3
9421,1,73,7,774.52,1
9422,0,85,8,162.55,2
9423,0,84,3,342.12,2
9424,0,74,8,153.11,2
9425,1,31,4,536.56,1
9426,1,45,5,790.41,1
9427,0,25,3,1195.9,4
9428,1,25,7,1071.6,4
9429,0,30,7,1304.4,4
9430,1,39,7,665.79,3
9431,0,83,7,271.95,2
9432,0,59,5,34.455999999999996,2
9433,1,44,5,962.79,1
9434,1,58,1,776.24,3
9435,0,65,5,368.83,2
9436,1,50,3,1409.4,1
9437,1,49,5,444.16,4
9438,1,51,4,931.99,3
9439,0,48,3,552.93,4
9440,0,30,2,287.29,2
9441,1,52,6,476.19,1
9442,0,60,1,376.9,2
9443,1,50,2,1697.1,4
9444,0,35,7,168.47,4
9445,1,31,6,98.649,3
9446,1,30,4,721.7,1
9447,1,42,5,185.8,1
9448,1,41,1,373.43,3
9449,0,29,7,202.74,2
9450,1,29,3,1520.7,4
9451,1,57,7,581.11,1
9452,1,20,3,685.3,4
9453,1,57,7,369.46,1
9454,1,36,6,1806.9,4
9455,1,33,3,664.9,1
9456,1,72,4,731.28,3
9457,0,47,7,448.84,2
9458,0,38,5,104.26,2
9459,1,69,6,642.19,1
9460,0,62,6,342.59,2
9461,1,44,3,398.12,4
9462,1,61,5,95.204,3
9463,0,34,2,281.35,2
9464,1,62,6,308.85,3
9465,0,47,5,1112.7,4
9466,1,34,3,215.42,1
9467,1,64,2,769.59,3
9468,1,26,7,317.25,1
9469,0,47,5,321.32,3
9470,1,74,8,274.23,3
9471,1,22,5,1317.8,4
9472,1,19,7,650.4,4
9473,1,24,3,1922.6,1
9474,1,25,5,876.51,1
9475,1,56,2,719.41,3
9476,0,40,6,1127.9,4
9477,1,54,3,566.68,1
9478,0,51,8,397.88,4
9479,1,22,8,739.34,4
9480,1,43,6,394.02,3
9481,0,58,5,61.637,2
9482,1,36,2,1129.5,4
9483,1,36,1,995.61,1
9484,1,42,3,544.41,1
9485,1,35,5,363.7,3
9486,0,25,6,783.38,4
9487,0,77,6,234.47,2
9488,0,47,7,2602.0,4
9489,1,29,3,365.2,1
9490,0,42,1,447.38,2
9491,1,27,5,1883.7,1
9492,1,55,5,1919.7,1
9493,1,20,2,197.27,1
9494,0,79,2,490.4,2
9495,0,52,7,403.86,2
9496,1,25,8,1912.4,1
9497,1,52,5,287.03,3
9498,0,85,5,24.996,2
9499,0,21,8,2537.1,3
9500,1,46,4,1546.5,4
9501,1,58,1,66.34899999999999,3
9502,0,59,5,486.74,2
9503,0,29,6,270.67,2
9504,1,45,4,490.52,3
9505,0,56,7,140.41,2
9506,0,85,3,485.93,2
9507,0,54,1,2817.9,4
9508,0,57,3,370.4,4
9509,0,35,4,773.95,4
9510,1,29,3,1149.1,4
9511,1,42,2,1783.4,4
9512,1,38,7,918.41,1
9513,0,36,7,411.04,2
9514,0,55,4,806.41,4
9515,1,21,2,277.87,4
9516,0,33,6,341.96,2
9517,0,83,2,244.64,2
9518,1,33,1,587.53,4
9519,0,47,5,481.93,3
9520,1,49,8,330.35,4
9521,1,51,3,280.23,3
9522,0,41,3,2963.4,4
9523,1,36,3,446.44,4
9524,1,32,7,338.64,4
9525,0,25,3,1195.7,4
9526,1,51,4,344.66,4
9527,0,41,8,212.44,2
9528,1,70,3,717.96,1
9529,0,41,7,202.87,4
9530,1,42,4,530.46,1
9531,1,25,1,66.568,3
9532,0,64,8,253.9,2
9533,1,26,2,1071.8,4
9534,0,28,1,82.266,2
9535,0,30,2,252.89,2
9536,1,25,4,981.47,3
9537,1,49,8,1669.0,4
9538,0,44,4,353.79,4
9539,1,51,4,353.76,4
9540,1,39,1,165.49,1
9541,0,73,4,64.49600000000001,2
9542,0,58,2,2346.3,4
9543,0,56,1,2396.7,3
9544,0,82,2,227.87,2
9545,0,35,3,509.21,4
9546,1,33,5,211.95,3
9547,0,69,6,28.648000000000003,2
9548,0,46,4,302.91,2
9549,1,52,5,917.68,4
9550,1,55,2,530.07,3
9551,0,53,7,492.55,2
9552,1,35,7,1597.3,4
9553,1,38,3,190.56,4
9554,0,44,8,2918.6,4
9555,1,27,4,993.75,1
9556,0,30,8,1156.1,3
9557,0,51,3,152.34,2
9558,1,36,7,497.62,4
9559,0,61,6,2819.9,4
9560,1,68,7,714.71,3
9561,0,40,3,441.11,2
9562,0,52,3,337.44,2
9563,0,23,7,1204.7,4
9564,1,26,5,401.45,3
9565,0,49,3,421.83,2
9566,0,61,8,360.65,2
9567,0,54,6,30.735,2
9568,0,42,3,2144.5,4
9569,1,42,6,1071.4,4
9570,0,59,6,1376.0,4
9571,1,27,2,752.55,1
9572,1,41,6,1791.2,4
9573,1,31,2,552.62,3
9574,0,53,2,200.53,4
9575,1,53,4,1782.1,4
9576,0,29,3,2558.8,3
9577,1,21,2,1138.8,1
9578,0,34,2,1771.7,3
9579,1,48,5,1338.5,4
9580,1,24,3,324.72,1
9581,0,60,3,335.77,2
9582,0,59,7,2092.9,4
9583,1,52,2,939.69,3
9584,1,52,7,1236.5,4
9585,0,40,3,26.866999999999997,2
9586,1,24,4,917.57,4
9587,1,51,5,640.99,3
9588,1,30,2,730.24,3
9589,0,51,5,162.47,2
9590,1,70,4,661.52,1
9591,0,45,5,460.05,2
9592,0,26,5,1602.2,4
9593,0,78,6,176.4,2
9594,1,67,7,743.37,1
9595,0,23,3,1476.0,3
9596,0,74,7,111.28,2
9597,1,26,3,365.65,1
9598,1,68,7,803.75,1
9599,0,43,3,777.97,4
9600,0,35,7,2349.6,3
9601,0,46,1,87.68,2
9602,0,46,6,167.29,4
9603,1,43,8,772.61,3
9604,0,42,7,190.78,2
9605,1,31,4,1840.6,1
9606,1,34,6,170.01,4
9607,0,22,6,1393.8,3
9608,1,53,4,182.04,4
9609,0,51,6,474.82,2
9610,0,61,1,288.59,2
9611,0,45,2,1869.3,3
9612,0,45,6,32.132,2
9613,1,56,5,257.0,3
9614,0,30,6,152.52,3
9615,1,27,7,937.26,1
9616,1,31,3,279.23,1
9617,0,64,1,216.17,2
9618,1,25,1,420.67,3
9619,1,21,7,1998.4,4
9620,1,19,7,1937.1,4
9621,1,48,8,783.16,3
9622,1,52,6,254.53,3
9623,0,46,6,528.14,4
9624,0,63,3,76.484,2
9625,1,59,3,891.57,1
9626,0,77,7,477.58,2
9627,1,38,4,1380.8,1
9628,0,82,4,212.45,2
9629,0,28,2,461.69,2
9630,1,52,8,512.73,3
9631,0,43,3,1935.9,3
9632,1,44,2,1429.7,4
9633,1,32,5,975.31,1
9634,0,33,1,218.77,2
9635,1,67,4,994.92,3
9636,0,63,4,1708.6,4
9637,1,54,7,756.58,3
9638,0,44,3,2338.8,3
9639,0,69,5,107.21,2
9640,1,67,4,156.63,3
9641,1,73,3,851.45,3
9642,0,83,4,446.83,2
9643,1,54,1,481.48,4
9644,0,34,3,617.94,4
9645,1,47,7,1062.5,1
9646,1,28,3,84.06200000000001,1
9647,1,35,6,1991.9,4
9648,0,20,6,600.4,3
9649,0,60,6,472.89,3
9650,0,46,6,2929.9,3
9651,0,77,6,172.22,2
9652,1,52,1,1623.0,1
9653,0,78,8,468.7,2
9654,1,48,1,424.62,1
9655,1,33,7,1907.4,4
9656,1,69,5,774.04,3
9657,1,49,7,170.18,3
9658,1,23,5,1217.7,1
9659,0,34,6,123.6,2
9660,1,31,5,1591.0,4
9661,1,47,5,334.53,1
9662,1,59,3,749.42,3
9663,1,61,1,885.86,1
9664,0,30,7,301.68,2
9665,0,82,1,296.06,2
9666,1,48,6,108.37,4
9667,1,35,5,1634.1,4
9668,0,60,3,490.51,2
9669,0,33,2,1524.6,4
9670,0,58,3,173.15,2
9671,1,33,2,1984.2,4
9672,0,34,3,1040.8,3
9673,0,78,5,157.57,2
9674,0,58,6,2274.5,4
9675,0,26,6,306.41,4
9676,0,56,4,449.88,2
9677,1,23,7,1610.2,1
9678,0,28,2,143.39,3
9679,0,29,8,86.152,2
9680,0,57,4,391.92,2
9681,0,44,2,300.7,2
9682,0,27,6,2776.2,4
9683,1,49,2,786.18,1
9684,0,31,3,1456.5,4
9685,0,40,6,312.92,2
9686,1,28,5,1749.8,4
9687,0,60,6,2588.5,4
9688,0,43,7,2685.2,3
9689,0,82,3,86.068,2
9690,0,65,1,126.67,2
9691,1,29,5,1881.1,4
9692,0,50,2,2308.3,3
9693,1,58,6,612.22,1
9694,1,52,3,1254.7,4
9695,0,31,6,434.58,4
9696,1,29,3,213.7,3
9697,0,54,4,245.21,2
9698,1,51,2,499.56,1
9699,0,40,6,1282.2,3
9700,0,35,3,206.0,2
9701,1,35,2,105.8,4
9702,1,37,2,71.327,1
9703,1,36,8,671.59,1
9704,1,44,8,922.17,1
9705,1,57,3,770.68,1
9706,0,40,2,1242.8,4
9707,0,49,2,171.11,2
9708,0,68,3,190.82,2
9709,1,23,2,1190.9,4
9710,0,37,3,265.26,2
9711,1,65,1,922.7,3
9712,1,38,6,206.84,1
9713,0,85,3,327.83,2
9714,0,39,6,1358.9,4
9715,0,59,1,367.48,4
9716,1,71,1,976.95,1
9717,1,56,5,717.36,1
9718,1,39,6,1928.4,4
9719,0,74,1,442.73,2
9720,0,46,4,6.066,2
9721,0,57,2,2560.4,3
9722,0,58,4,1763.4,3
9723,1,53,2,597.57,1
9724,0,40,7,902.78,4
9725,0,64,4,216.14,2
9726,0,37,3,479.67,2
9727,1,26,3,554.15,4
9728,0,46,5,208.32,2
9729,1,46,2,588.51,4
9730,1,67,7,315.46,3
9731,1,53,1,456.98,3
9732,1,50,3,396.64,3
9733,1,27,3,663.82,4
9734,0,44,8,2377.6,4
9735,0,49,3,1485.5,4
9736,0,55,4,301.55,2
9737,0,37,2,240.89,2
9738,1,64,3,90.465,1
